site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Mouth,June,6/21/18,10:59,11:15,0:16,3,2,1,11:00,0,0,0,0,1,Summer,0,0,0,0
Terminal,June,6/21/18,13:54,14:02,0:08,2,1,1,14:00,0,0,0,0,1,Summer,0,0,0,0
Aquarium,July,7/3/18,11:08,11:21,0:13,14,12,2,11:20,0,0,0,0,1,Summer,0,0,0,0
Ashley1,July,7/3/18,13:17,13:19,0:02,1,1,0,13:20,0,0,0,0,1,Summer,0,2,0,0
Ashley2,July,7/3/18,13:48,14:38,0:50,0,0,0,14:00,0,0,0,0,1,Summer,3,0,0,0
Confluence,July,7/3/18,9:39,10:29,0:50,0,0,0,10:00,0,0,0,0,1,Summer,0,0,0,0
Mouth,July,7/3/18,11:37,12:27,0:50,0,0,0,12:00,0,0,0,0,1,Summer,0,0,0,0
Terminal,July,7/3/18,8:38,8:46,0:08,4,2,2,8:40,0,0,0,0,1,Summer,0,0,0,0
Terminal,July,7/3/18,8:58,9:14,0:16,6,3,3,9:00,0,0,0,0,1,Summer,0,0,0,0
Aquarium,July,7/17/18,11:05,11:20,0:15,3,2,1,11:20,3,0,0,3,1,Summer,0,0,0,0
Aquarium,July,7/17/18,11:34,11:50,0:16,2,2,0,11:40,7,0,0,7,1,Summer,0,0,0,0
Ashley1,July,7/17/18,12:06,12:56,0:50,0,0,0,13:00,0,0,0,0,1,Summer,0,0,0,0
Ashley2,July,7/17/18,13:12,13:20,0:08,1,1,0,13:20,0,0,0,0,1,Summer,0,0,0,0
Confluence,July,7/17/18,10:07,10:57,0:50,0,0,0,11:00,0,0,0,0,0,Summer,0,2,0,2
Mouth,July,7/17/18,8:08,8:58,0:50,0,0,0,9:00,0,0,0,0,1,Summer,0,0,0,0
Terminal,July,7/17/18,9:39,9:45,0:06,1,1,0,9:40,0,0,0,0,1,Summer,0,0,0,0
Aquarium,August,8/7/18,13:38,13:46,0:08,5,3,2,13:40,9,0,1,10,1,Summer,0,0,0,0
Ashley1,August,8/7/18,9:15,9:22,0:07,1,1,0,9:20,0,0,0,0,1,Summer,0,0,1,0
Ashley1,August,8/7/18,9:38,9:44,0:06,1,1,0,9:40,1,0,0,1,0,Summer,0,0,1,0
